#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_28122	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_28123	Eukaryota	unknown	unknown	Himatismenida	unknown	g_	s_
ASV_28124	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Campanulariidae	g_	s_
ASV_28125	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_28127	Eukaryota	Platyhelminthes	Rhabditophora	Polycladida	unassigned	g_	s_
ASV_28128	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_28129	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Agalmatidae	g_	s_
ASV_28130	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_28131	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_28132	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus pergens
ASV_28134	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_28136	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pinnotheridae	Pinnixa	Pinnixa faba
ASV_28137	Eukaryota	Arthropoda	Insecta	unassigned	unassigned	g_	s_
ASV_28142	Eukaryota	Arthropoda	Arachnida	Araneae	Ochyroceratidae	g_	s_
ASV_28145	Eukaryota	Ochrophyta	Chrysophyceae	unknown	Apoikiaceae	g_	s_
ASV_28146	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_28148	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Stephanodiscaceae	g_	s_
ASV_28150	Eukaryota	unknown	unknown	unknown	Vexilliferidae	g_	s_
ASV_28155	Eukaryota	unknown	unknown	Choanoflagellata	Salpingoecidae	g_	s_
ASV_28156	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_28158	Eukaryota	Cnidaria	Hydrozoa	unknown	unknown	g_	s_
