#OTUID	CN17_B1	CN17_B10	CN17_B13	CN17_B17	CN17_CBI1	CN17_CBI4	CN17_CBI5	CN17_CBI8	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
18f003b16cdfa6b1b7ce15ee296b2ff9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	0	4	3	0	0	0	2	0
4244f8df49f6cf24c7fa160b34d7249e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f77ce6e32b7c640cd02e4518b65d5d0	0	0	0	0	0	24	21	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
80264b20b31f4cea5a4508e50067a377	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	18	0	0	0	51	27	28	51	0	83	44	0	46	0	45	35	35	37	39	24	23	23	22	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92d29d3e7aa8e2735c550e6ed0693fe1	8	0	17	0	26	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	15	0	9	0	0	0	0	0	0	0	0	0	0	0	35	36	0	76	0	62	0	65	70	57	42	65	74	36	51	0	62	0	51	0
094e16dcd4fb72b54a78bb5c07f982e6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	26	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
233fa68b7d8e55899c39d3788fcdd0a0	0	0	0	0	0	0	0	0	3	0	8	5	12	6	16	0	7	9	11	16	6	3	12	18	8	6	12	9	14	0	0	7	3	4	13	0	10	8	0	9	6	12	4	8	10	9	5	2	2	0	12	0	0	9	0	7	0	6	9	5	6	4	10	7	2	0	0	0	0	0
267b439d18a307df41812b0e32bbd7f4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
887d5d1f81fd64beed9028491db21560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
9380eac5ee2cf8d4a60f4b9f10bd5f16	201	0	103	0	93	43	76	43	0	0	0	0	0	0	0	0	0	0	0	52	0	39	28	0	0	0	37	0	0	0	0	53	33	0	56	0	77	46	0	55	0	43	40	0	41	0	39	0	0	36	752	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0
