#OTUID	CN18SKOA_ESP36_NN	CN18SKOA_ESP39_NN	CN18SKOA_ESP41_NN	CN18SKOA_ESP44_NN	CN18Sc14_8_eDNA_NN	CN18Sc15_8_eDNA_NN	CN18Sc18_8_eDNA_NN	CN18Sc27_8_eDNA_NN
ASV_1878	0	0	0	0	0	0	0	0
ASV_1879	0	0	0	0	0	0	0	0
ASV_1881	0	0	0	0	0	0	0	0
ASV_1882	0	0	0	0	0	0	0	0
ASV_1884	0	0	0	0	0	0	0	0
ASV_1885	0	0	0	0	0	0	0	0
ASV_1890	0	0	0	0	0	0	0	0
ASV_1894	0	0	0	0	0	0	0	0
ASV_1897	0	0	0	0	0	0	0	0
ASV_1899	0	0	0	0	0	0	0	0
ASV_1900	0	0	0	0	0	0	0	0
ASV_1910	0	0	0	0	0	0	0	0
ASV_1911	0	0	0	0	0	0	0	0
ASV_1913	0	0	0	0	0	0	0	0
ASV_1920	0	0	0	0	0	0	0	0
ASV_1921	0	0	0	0	0	0	0	0
ASV_1923	0	0	0	0	0	0	0	0
ASV_1924	0	0	0	0	0	0	0	0
ASV_1930	0	0	0	0	0	0	0	0
ASV_1931	0	0	0	0	0	0	0	0
ASV_1932	0	0	0	0	0	0	0	0
ASV_1933	0	0	0	0	0	0	0	0
ASV_1935	0	0	0	0	0	0	0	0
ASV_1953	0	0	0	0	0	0	0	0
ASV_1957	0	0	0	0	0	0	0	0
ASV_1958	0	0	0	0	0	0	0	0
ASV_1959	0	0	0	0	0	0	0	0
ASV_1960	0	0	0	0	0	0	0	0
ASV_1962	0	0	0	0	0	0	0	0
ASV_1963	0	0	0	0	0	0	0	0
ASV_1964	0	0	0	0	0	0	0	0
ASV_1965	0	0	0	0	0	0	0	0
ASV_1966	0	0	0	0	0	0	0	0
ASV_1967	0	0	0	0	0	0	0	0
ASV_1968	0	0	0	0	0	0	0	0
ASV_1969	0	0	0	0	0	0	0	0
ASV_1970	0	0	0	0	0	0	0	0
ASV_1974	0	0	0	0	0	0	0	0
ASV_1975	0	0	0	0	0	0	0	0
ASV_1976	0	0	0	0	0	0	0	0
ASV_1978	0	0	0	0	0	0	0	0
ASV_1979	0	0	0	0	0	0	0	0
ASV_1980	0	0	0	0	0	0	0	0
ASV_1981	0	0	0	0	0	0	0	0
ASV_1983	0	0	0	0	1	0	5	0
ASV_1984	0	0	0	0	0	0	0	0
ASV_1985	0	0	0	0	0	0	0	0
ASV_1986	0	0	0	0	0	0	0	0
ASV_1991	0	0	3	0	0	0	8	0
ASV_1992	0	0	0	0	0	0	0	0
ASV_1999	0	0	0	0	0	0	0	0
ASV_2000	0	0	0	0	0	0	0	0
ASV_2001	0	0	0	0	0	0	0	0
ASV_2002	0	0	0	0	0	0	0	0
ASV_2006	0	0	0	0	0	0	0	0
ASV_2007	0	0	0	0	0	0	0	0
ASV_2008	0	0	0	0	0	0	0	0
ASV_2009	0	0	0	0	0	0	0	0
ASV_2013	0	0	0	0	0	0	0	0
ASV_2014	0	0	0	0	0	0	0	0
ASV_2016	0	0	0	0	0	0	0	0
ASV_2019	0	0	0	0	0	0	0	0
ASV_2020	0	0	0	0	0	0	0	0
ASV_2021	0	0	0	0	0	0	0	0
ASV_2026	0	0	0	0	0	0	0	0
ASV_2027	0	0	0	0	0	0	0	0
ASV_2031	0	0	0	0	0	0	0	0
