"ASV","20190226_EB","CN18FESPkoa_SC1","CN18FESPkoa_SC59","CN18S_koa3G_SC29","CN18S_koa3G_SC30","CN18S_koa3G_SC31","CN18S_koa3G_SC57","CN18S_koa3G_SC58","CN18S_koa3G_SC59","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"968f578aa34bb7a72b9c9038826b00f2",0,56,0,0,0,0,0,0,0,56,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Crocinitomicaceae"," Salinirepens"," "
"092824eab7bb4d0df02468c367153adf",0,0,0,17,36,0,0,0,0,53,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"b70e8d907778952d23bd4876542a2140",0,0,0,0,0,0,0,51,0,51,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Bacillus"," Bacillus_thermoamylovorans"
"edd2f96d221191cfe2a96dbb87c3c402",0,0,0,0,43,5,0,0,0,48,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Spongiibacteraceae"," "," "
"d9f3cd010e62ed14267428e00eb063af",0,0,0,0,0,48,0,0,0,48,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," uncultured_bacterium"
"7ec69f2c62aad60e060e588ef687bdd0",0,31,0,0,0,16,0,0,0,47,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," SAR86_clade"," SAR86_clade"," SAR86_clade"," "
"7cca75a624d36427742f53dbcab8f084",0,47,0,0,0,0,0,0,0,47,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," "," "
"7b7164f09160654e5c799e915aea50ff",0,0,0,0,0,47,0,0,0,47,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Thalassotalea"," "
"cbbf81a427b5bdb34563923db1a3af01",0,0,0,0,0,47,0,0,0,47,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"b94f9f9f7ce7df83d29fbcbf611f8a37",0,46,0,0,0,0,0,0,0,46,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Cellvibrionaceae"," Aestuariicella"," "
