"ASV","20180724_EB_AA","20180802_EB_AA","20180815_EB_AA","20180908_CB_HH","20180909_CB_HH","20180910_CB_HH","20181211_EB_CC","20181212_EB_CC","20181218_EB_CC","20190619_EB_HH","CN18FESPkoa_SC1_CC","CN18FESPkoa_SC59_CC","CN18S_koa3G_SC29_CC","CN18S_koa3G_SC30_CC","CN18S_koa3G_SC31_CC","CN18S_koa3G_SC57_CC","CN18S_koa3G_SC58_CC","CN18S_koa3G_SC59_CC","pcr_blank_1_CC","pcr_blank_2_CC","pcr_blank_3_CC","pcrblank_1_AA","pcrblank_1_HH","pcrblank_2_AA","pcrblank_2_HH","pcrblank_3_AA","pcrblank_3_HH","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_4250",0,0,0,110,0,1009,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1243,"Eukaryota","Chlorophyta","Chlorophyceae","Oedogoniales","unknown","Oedogonium","unassigned"
"ASV_80",0,0,0,0,0,0,0,0,1,0,0,0,871,0,162,203,0,0,0,0,0,0,0,0,0,0,0,1237,"Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Asterionellopsis","Asterionellopsis glacialis"
"ASV_4136",0,0,0,310,566,0,0,0,137,163,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1223,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_2967",0,0,0,1012,3,1,1,0,0,189,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1216,"Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","unassigned","unassigned","unassigned"
"ASV_485",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1192,0,0,0,0,0,0,0,0,0,0,1206,"Eukaryota","Bacillariophyta","Bacillariophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_2743",0,26,2,0,0,0,0,967,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,1203,"Eukaryota","Ochrophyta","Chrysophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_4165",0,0,0,232,127,0,303,463,67,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1194,"Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","s_"
"ASV_49",0,0,0,56,0,0,0,0,0,0,440,0,7,47,0,0,307,313,0,0,0,0,0,0,0,0,0,1170,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_4247",0,0,0,151,260,708,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,"Eukaryota","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","unassigned","unassigned"
"ASV_28",0,37,0,319,492,2,0,0,0,36,11,1,1,0,0,0,258,0,1,0,0,0,0,0,0,0,0,1158,"Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
