#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_46819	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46820	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_46826	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46833	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_46844	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_46845	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46846	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_46848	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	g_	s_
ASV_46849	Eukaryota	unknown	Pelagophyceae	Pelagomonadales	unknown	Aureococcus	s_
ASV_46850	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Ctenocalanus	Ctenocalanus vanus
ASV_46851	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_46852	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46853	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46854	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46855	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_46859	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46869	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_46879	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_46880	Eukaryota	unknown	unknown	unknown	Vexilliferidae	g_	s_
ASV_46881	Eukaryota	Cnidaria	Scyphozoa	Rhizostomeae	Stomolophidae	g_	s_
ASV_46882	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	s_
ASV_46883	Eukaryota	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	g_	s_
ASV_46884	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46885	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_46890	Eukaryota	unknown	unknown	Telonemida	unassigned	g_	s_
ASV_46907	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_46908	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46909	Eukaryota	Oomycota	Oomycetes	Peronosporales	Peronosporaceae	g_	s_
ASV_46911	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46912	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46913	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46914	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Spinocalanidae	g_	s_
ASV_46915	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_46916	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_46917	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_46918	Eukaryota	Arthropoda	unknown	unknown	unknown	g_	s_
ASV_46919	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
