#OTUID	CN18Sc14_8_eDNA	CN18Sc15_8_eDNA	CN18Sc18_8_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC39	CN18SESPkoa_SC41	CN18SESPkoa_SC44
28bd0bbe80cc6f95c9192ca346875c01	0	0	21	0	2593	992	268	29
1e2a6b8ff7c4a5b15dadfcd79ab0b195	0	0	0	0	0	0	0	0
439ad8cf53757579bdbf6a82995df944	55	0	42	0	201	0	0	0
152ca12e2ab9a2e3f92d78d4b40c55ca	193	0	35	0	110	0	0	0
2471874e6c6622ef8d00f5d8ba26e718	47	0	125	0	532	72	0	0
131345e7d6d8a62be6e8c4c8d93ca270	57	0	35	16	355	14	2	0
5e9d27dfbb2c8da6c1a16afa4eac913a	18	22	172	73	271	27	17	0
f73ef9303a525b136a34ecaa2c36a1ae	0	0	0	0	13	0	0	0
0f11842aaa2f63f3520ce2ab7ecaf4f1	107	0	0	0	0	0	0	0
a8b397210b8bbe54e65d244d0b542c54	0	4	12	0	122	0	26	0
8fb4413ed236cf03df5e94100c843f31	62	0	0	0	97	0	0	0
7d90d5ed128c6d4519c33e4e5b4deda9	115	91	224	198	583	57	229	28
86edd6692e8cc7e48dcec26fa149a666	0	0	76	76	175	0	0	0
42ec17613593700da6bf609520fe7ac1	0	0	25	9	174	12	14	0
54a7d2c9e0aa39ae9f734e40c7092fab	23	0	0	0	54	0	0	0
a2af59eac3fe36d37a163f544ae31002	0	0	0	0	0	0	0	0
6fbb513312589bd1f7aeaebcc263e486	0	7	11	19	76	13	0	0
cdfa6944261963a29a9e8193263a1875	158	0	56	0	194	0	0	0
3c040197263714da317b698fa5779937	51	0	74	74	297	0	0	0
5bf5f0e700dd459afc067c29e6e47640	85	0	31	0	174	0	0	0
503e245ef7610e07931e8ffe369f7e01	26	0	24	0	58	0	0	0
e00012f8b749d5a7e6047dc838c05e8d	110	0	0	0	0	0	0	0
cf3830ef9a5da24d9431209217d449b6	0	0	0	0	56	0	0	0
f35e6c0f6cef47cdab234d0c9fbef67a	0	0	0	0	24	0	0	0
a38be80fcf8fa00120091d5ee5b94183	0	0	0	0	0	0	0	0
8f26f6ae88c88191a467d8170129dc87	15	0	0	0	35	0	0	0
1507698ef9efed12b6709f71fcd6d17c	12	0	0	0	31	0	0	0
e4933c9a271621865609336f2b10ff7a	0	0	0	0	0	0	0	0
3391f21c128950d5850839a59eac3d4d	84	0	0	0	43	0	0	0
37e4a3306307406ad52e34c3626cb72f	48	0	0	0	115	0	0	0
81ba237350b51ef5741ed9266007d235	29	0	11	0	42	3	0	0
dafddee1c31066e4d5c89c9642df6c9c	0	0	0	0	111	0	0	0
36ced6d7e229be21b5ac7d3a85b51b2b	14	0	0	0	33	0	0	0
06a64c0950ee9880a9b66aad17714074	0	0	0	0	88	0	0	0
b4b491e957ab54c16224f12115820d88	50	0	19	0	182	0	0	0
865f48070e7fe281ca9c16d8a1ad247d	0	0	3	0	22	0	0	0
1987ede5c0b5a90d5a70e6303cac2936	0	0	31	18	141	11	9	0
64b7f64aac846cb86f1eaa8fac017de6	61	97	127	88	964	173	371	30
fea5183f090a4a0fe3a5f0d2c9839653	58	0	31	0	92	0	0	0
8f21dba7b40d77ce0b91a3b8637db466	0	0	0	9	25	0	0	0
4061dd2cd8244418a5f4f1521bb206d9	8	8	30	8	183	22	43	0
0032f9498596693d022238b1a2c99704	0	0	0	0	0	0	0	0
a7856c0cf9848e709c692d18b2d0f8fd	134	0	0	0	97	0	0	0
1a7d316e946cb881fe18beb4e2cf3045	0	0	0	0	12	0	0	0
b94cee67c25539a4525662c240ae093d	0	0	45	0	102	0	0	0
6d31668512483c6640ec6e4c7030e129	0	0	0	0	16	0	0	0
68fb4f4c2c976da006edc8e3fa0280eb	0	0	0	0	183	0	0	0
7c878ce8a9adb33dc5ead88079151bca	106	0	0	0	88	0	0	0
638a2f1ece653205f030964c19430961	66	0	10	0	31	0	0	0
1d8457b1f25447cbf807a7c7bc6283e0	0	0	0	0	0	0	0	0
2145f217d0912812c475d6ffa64131d5	39	121	272	199	479	58	52	0
68fd31fed4cc59c548e3e9c14f56a5ea	0	0	0	0	0	0	0	0
