#OTUID	CN18SESPkoa_SC37_Y	CN18SESPkoa_SC40_Y	CN18SESPkoa_SC42_Y	CN18SESPkoa_SC45_Y	CN18SESPkoa_SC47_Y	CN18SESPkoa_SC49_Y	CN18Sc09_2_eDNA_Y	CN18Sc10_2_eDNA_Y	CN18Sc14_2_eDNA_Y	CN18Sc15_2_eDNA_Y	CN18Sc18_2_eDNA_Y	CN18Sc27_2_eDNA_Y
ASV_8340	0	8	0	0	0	0	0	0	27	41	0	0
ASV_8341	0	0	0	0	18	0	0	0	0	8	0	0
ASV_8345	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8346	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8347	0	0	0	0	0	0	0	0	0	0	1	0
ASV_8348	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8349	0	0	0	2	0	0	0	160	2	0	0	0
ASV_8350	15	0	6	12	15	14	16	10	88	6	15	0
ASV_8351	0	0	0	0	0	0	3	54	0	0	0	0
ASV_8352	0	0	5	0	0	0	0	0	0	0	0	0
ASV_8353	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8354	17	24	139	20	0	0	0	92	0	0	13	4
ASV_8355	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8356	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8357	0	0	0	0	0	0	0	0	0	0	0	3
ASV_8358	0	0	0	0	0	0	1	0	0	0	0	0
ASV_8360	722	123	143	350	423	292	326	272	500	275	125	134
ASV_8361	270	88	552	308	493	295	455	536	265	351	283	51
ASV_8363	138	107	26	37	173	208	436	86	246	140	342	584
ASV_8365	0	6	0	1	0	1	0	0	0	2	1	0
ASV_8367	16	5	12	70	26	20	23	23	175	26	0	35
ASV_8372	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8373	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8376	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8379	30	34	75	18	83	74	23	35	18	112	137	20
ASV_8381	65	33	84	170	233	155	55	105	159	62	38	1
ASV_8384	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8385	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8387	0	0	0	0	4	0	0	1	0	0	0	0
ASV_8388	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8389	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8390	1	0	1	5	8	0	3	2	6	1	7	2
ASV_8391	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8392	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8393	358	88	184	134	238	79	197	230	205	72	23	42
ASV_8394	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8395	0	0	0	0	0	0	0	0	5	0	0	0
ASV_8396	6	0	0	0	0	0	2	0	5	0	1	0
ASV_8397	86	50	4	0	275	0	0	0	0	0	0	0
ASV_8400	0	0	0	0	0	0	0	0	0	2	0	0
