"","20171019_EB_NN","20180710_EB_NN","20181211_EB_OO","20181212_EB_OO","20181218_EB_OO","20190619_EB_QQ","CN18FESPkoa_BN1post_OO","CN18FESPkoa_BN1pre_OO","CN18FESPkoa_BN2post_OO","CN18FESPkoa_BN2pre_OO","CN18FESPkoa_BN3post_OO","CN18FESPkoa_BN3pre_OO","CN18FESPkoa_BP1_OO","CN18FESPkoa_BP2_OO","CN18FESPkoa_BP3_OO","CN18FESPkoa_SC1_OO","CN18FESPkoa_SC24_OO","CN18FESPkoa_SC26_OO","CN18FESPkoa_SC29_OO","CN18FESPkoa_SC30_OO","CN18FESPkoa_SC31_OO","CN18FESPkoa_SC32_OO","CN18FESPkoa_SC34_OO","CN18FESPkoa_SC35_OO","CN18FESPkoa_SC37_OO","CN18FESPkoa_SC40_OO","CN18FESPkoa_SC41_OO","CN18FESPkoa_SC43_OO","CN18FESPkoa_SC44_OO","CN18FESPkoa_SC46_OO","CN18FESPkoa_SC47_OO","CN18FESPkoa_SC49_OO","CN18FESPkoa_SC52_OO","CN18FESPkoa_SC53_OO","CN18FESPkoa_SC55_OO","CN18FESPkoa_SC56_OO","CN18FESPkoa_SC57_OO","CN18FESPkoa_SC58_OO","CN18FESPkoa_SC59_OO","CN18Fc12_8_eDNA_OO","CN18Fc21_6_eDNA_OO","CN18Fc22_6_eDNA_OO","CN18Fc24_6_eDNA_OO","CN18Fc25_5_eDNA_OO","CN18Fc27_4_eDNA_OO","CN18Fc29_6_eDNA_OO","CN18Fc30_4_eDNA_OO","CN18Fc32_4_eDNA_OO","CN18Fc33_5_eDNA_OO","CN18Fc35_5_eDNA_OO","CN18Fc36_6_eDNA_OO","CN18Fc38_5_eDNA_OO","CN18Fc40_6_eDNA_OO","CN18Fc41_6_eDNA_OO","CN18Fc43_5_eDNA_OO","CN18Fc44_8_eDNA_OO","CN18Fc46_8_eDNA_OO","CN18SKOA_ESP36_NN","CN18SKOA_ESP37_NN","CN18SKOA_ESP39_NN","CN18SKOA_ESP40_NN","CN18SKOA_ESP41_NN","CN18SKOA_ESP42_NN","CN18SKOA_ESP44_NN","CN18SKOA_ESP45_NN","CN18SKOA_ESP47_NN","CN18SKOA_ESP49_NN","CN18S_koa3G_BN1post_NN","CN18S_koa3G_BN1pre_NN","CN18S_koa3G_BN2post_NN","CN18S_koa3G_BN2pre_NN","CN18S_koa3G_BN3post_NN","CN18S_koa3G_BN3pre_NN","CN18S_koa3G_BP1_NN","CN18S_koa3G_BP2_NN","CN18S_koa3G_BP3_NN","CN18S_koa3G_SC29_NN","CN18S_koa3G_SC30_NN","CN18S_koa3G_SC31_NN","CN18S_koa3G_SC57_NN","CN18S_koa3G_SC58_NN","CN18S_koa3G_SC59_NN","CN18Sc09_2_eDNA_NN","CN18Sc10_2_eDNA_NN","CN18Sc14_2_eDNA_NN","CN18Sc14_8_eDNA_NN","CN18Sc15_2_eDNA_NN","CN18Sc15_8_eDNA_NN","CN18Sc18_2_eDNA_NN","CN18Sc18_8_eDNA_NN","CN18Sc27_2_eDNA_NN","CN18Sc27_8_eDNA_NN","pcrblank_1_NN","pcrblank_1_OO","pcrblank_1_QQ","pcrblank_2_NN","pcrblank_2_OO","pcrblank_2_QQ","pcrblank_3_NN","pcrblank_3_OO","pcrblank_3_QQ"
"ASV_2452",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_2453",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_2454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,13,0,2,0,10,11,23,0,0,0,0,0,0,0,183,40,192,0,0,0,0,0,0,2,0,7,2,0,42,0,11,2,0,0,0,0,0,0,0,1,0,0
"ASV_2455",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2456",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,12,0,0,0,8,3,14,0,0,0,0,0,0,0,27,67,89,0,0,0,0,0,0,8,1,10,3,1,18,0,3,7,0,1,0,0,0,0,0,0,0,0
"ASV_2457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ASV_2458",48,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,2,1,0,109,0,23,7,2991,0,1,2,0,8,30,0,0,0,6,6,6,1,4,10,0,0,13,0,4,0,0,0,0,0,0,0,0,0
"ASV_2459",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,12,0,3,0,20,13,41,0,0,0,0,0,0,0,28,59,485,1,0,0,0,0,0,4,0,14,8,0,21,0,11,7,8,0,0,0,0,0,0,0,0,0
"ASV_2460",62,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,2,0,187,0,20,8,377,0,1,0,0,14,8,1,0,1,5,1,11,1,15,7,0,5,17,0,2,0,0,0,0,0,0,0,0,0
"ASV_2461",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_2463",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,2,0,0,2,3,0,0,0,2,0,0,0,25,17,31,0,0,0,0,0,0,3,0,2,1,0,20,0,0,5,2,0,0,0,0,0,0,0,0,0
"ASV_2464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,1,0,0,0,1,0,0,0,4,9,19,0,1,0,0,0,0,3,0,2,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
"ASV_2465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
