"","CANON_AKU1_22_X","CANON_AKU2_22_X","CANON_AKU3_22_X","CANON_AKU4_22_X","CANON_B10_22_X","CANON_B13_22_X","CANON_B17_22_X","CANON_B1_22_X","CANON_B20_22_X","CANON_B23_22_X","CANON_CBI10_22_X","CANON_CBI1_22_X","CANON_CBI4_22_X","CANON_CBI5_22_X","CANON_CBI8_22_X","CANON_CBI9_22_X"
"ASV_8301",0,0,100,177,0,43,31,23,0,0,6,0,0,3,26,955
"ASV_8302",32,2,27,39,6,18,96,50,5,0,39,18,0,7,74,152
"ASV_8303",2115,96,1179,2089,145,333,1166,984,46,1,467,1720,56,200,1086,3703
"ASV_8304",0,40,67,134,165,37,98,30,8,0,82,0,42,38,117,214
"ASV_8305",0,0,0,0,0,0,305,0,45,0,0,0,0,0,0,0
"ASV_8307",2590,278,117,4041,72,5223,108,22,62,355,10507,1,2368,8616,13,177
"ASV_8308",223,13,184,513,7,443,629,451,46,3,219,0,52,240,325,937
"ASV_8309",0,163,0,14,78,45,153,45,49,27,26,0,42,24,464,66
"ASV_8310",0,0,0,0,5,24,0,0,0,0,0,0,55,15,0,0
"ASV_8311",16,0,14,27,0,27,1,33,0,0,20,0,7,17,0,16
"ASV_8312",72,3,15,6,113,78,2,3,0,2,15,0,7,25,26,0
"ASV_8314",31,25,124,77,0,9,368,98,2,0,56,0,7,12,143,284
"ASV_8316",317,252,71,161,1699,1540,0,47,202,992,238,0,242,405,0,0
"ASV_8318",0,0,0,0,0,3,0,0,24,0,0,0,0,0,0,0
"ASV_8324",117,0,0,13,0,109,156,33,9,0,0,0,7,11,18,0
"ASV_8329",1,546,0,8,0,0,0,0,301,108,39,0,0,0,0,0
"ASV_8330",0,0,3,0,0,0,0,13,0,0,1,0,0,0,27,45
"ASV_8331",697,12,275,338,74,90,69,201,1,15,104,0,67,108,166,508
"ASV_8332",0,0,0,0,3,4,0,1,6,60,0,0,5,0,0,0
"ASV_8333",2,0,23,0,0,0,0,0,0,0,0,0,0,6,0,0
"ASV_8336",0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
"ASV_8340",13,0,0,5,0,0,0,0,0,0,0,0,0,78,0,112
"ASV_8341",0,52,10,0,0,33,9,15,0,0,0,0,12,29,10,0
"ASV_8347",0,0,0,2149,0,0,0,0,0,0,0,0,0,1,0,0
"ASV_8349",0,0,0,0,60,159,0,10,14,33,26,0,24,126,0,0
"ASV_8350",579,1597,101,305,1918,2856,127,22,97,1875,766,0,325,1098,39,5
"ASV_8351",69,0,8,4,9,30,1,3,0,11,29,0,1,35,0,4
"ASV_8352",25,0,0,0,0,14,0,0,0,0,0,0,5,0,0,0
"ASV_8353",0,249,0,0,0,0,0,0,574,97,0,0,0,0,0,0
"ASV_8354",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ASV_8355",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"ASV_8356",0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0
"ASV_8357",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ASV_8360",275,0,44,75,130,24,0,56,0,0,31,0,16,14,0,34
"ASV_8361",230,15,283,617,37,91,421,302,8,0,80,373,23,50,387,1408
"ASV_8363",108,0,73,0,0,0,0,17,0,0,30,0,0,0,0,0
"ASV_8367",320,20,59,74,119,460,124,95,41,64,302,12,39,278,236,322
"ASV_8370",9,22,2,0,0,0,1,0,32,30,3,0,0,0,1,1
"ASV_8372",0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,33
"ASV_8373",0,91,0,0,0,2786,0,0,35,37,538,0,210,0,11,0
"ASV_8376",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8379",73,0,0,0,0,0,23,0,0,0,0,0,0,0,0,3
"ASV_8380",0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ASV_8381",0,20,0,0,0,6,44,22,12,0,9,0,2,5,24,25
"ASV_8385",0,0,13,0,0,0,0,12,0,0,0,0,0,0,23,190
"ASV_8387",0,0,0,13,3,15,7,0,0,0,2,0,0,12,1,6
"ASV_8390",261,119,19,81,896,529,245,26,69,130,76,0,54,299,86,23
"ASV_8392",61,0,2,4,0,0,11,21,0,0,6,0,0,6,80,0
"ASV_8393",0,0,20,1,0,0,0,0,0,0,0,0,0,6,0,0
"ASV_8395",123,49,16,126,2,329,114,24,0,2,147,96,231,196,226,153
"ASV_8396",0,0,0,0,0,0,18,1,0,0,0,0,0,1,25,6
"ASV_8399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"ASV_8400",0,0,0,0,0,23,0,0,0,0,9,0,92,31,16,0
"ASV_8401",0,144,0,0,0,0,0,0,1,79,2,0,0,0,24,0
"ASV_8402",0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,20
"ASV_8405",172,2,0,12,0,19,0,2,0,0,59,0,73,80,0,0
"ASV_8407",1,0,15,2,0,0,7,4,0,0,2,0,0,0,12,43
"ASV_8408",0,0,0,0,0,0,1263,0,0,0,0,0,0,0,0,0
"ASV_8410",200,0,6,6,0,0,0,12,0,4,8,0,0,0,0,26
"ASV_8412",0,431,0,0,8,0,0,0,353,236,0,0,2,0,0,0
"ASV_8422",0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
"ASV_8424",0,34,36,19,0,42,215,162,20,0,30,0,2,1,169,315
"ASV_8426",68,40,50,0,1,1,344,0,19,206,12,0,4,1,0,433
"ASV_8428",0,350,0,0,1743,330,0,0,10,1268,661,0,144,81,0,0
"ASV_8429",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASV_8430",0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0
"ASV_8431",0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8433",0,0,0,54,0,14,8,0,0,0,0,0,0,12,0,0
"ASV_8434",355,0,815,806,8,309,80,152,0,4,106,0,134,211,11,1238
"ASV_8437",0,631,188,71,0,266,0,76,130,24,43,0,232,1,1,0
"ASV_8438",77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8439",0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0
"ASV_8440",0,34,1,1,0,0,43,22,0,1,0,0,1,0,7,6
"ASV_8442",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,38
"ASV_8444",186,29,0,0,149,167,0,0,9,774,98,0,46,118,0,0
"ASV_8455",0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ASV_8461",136,0,114,187,48,15,6,15,0,0,31,10,11,44,27,218
"ASV_8465",249,0,110,44,0,7,45,25,1,0,16,0,0,7,26,56
"ASV_8466",0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
